disease,from_year,to_year,drift
Anxiety_disorders,2013,2014,1.2218952e-05
Anxiety_disorders,2014,2015,9.536743e-06
Anxiety_disorders,2015,2016,9.298325e-06
Anxiety_disorders,2016,2017,1.090765e-05
Anxiety_disorders,2017,2018,1.1980534e-05
Anxiety_disorders,2018,2019,8.583069e-06
Anxiety_disorders,2019,2020,2.5212765e-05
Anxiety_disorders,2020,2021,3.33786e-05
Anxiety_disorders,2021,2022,1.0609627e-05
Anxiety_disorders,2022,2023,8.106232e-06
Anxiety_disorders,2023,2024,1.692772e-05
Anxiety_disorders,2024,2025,2.5749207e-05
Anxiety_disorders,2025,2026,8.124113e-05
Aortic_aneurysm,2000,2001,2.5987625e-05
Aortic_aneurysm,2001,2002,2.3663044e-05
Aortic_aneurysm,2002,2003,1.7106533e-05
Aortic_aneurysm,2003,2004,1.5199184e-05
Aortic_aneurysm,2004,2005,1.6987324e-05
Aortic_aneurysm,2005,2006,1.7523766e-05
Aortic_aneurysm,2006,2007,2.4676323e-05
Aortic_aneurysm,2007,2008,7.4505806e-06
Aortic_aneurysm,2008,2009,1.4662743e-05
Aortic_aneurysm,2009,2010,1.3053417e-05
Aortic_aneurysm,2010,2011,1.3828278e-05
Aortic_aneurysm,2011,2012,7.4505806e-06
Aortic_aneurysm,2012,2013,1.9907951e-05
Aortic_aneurysm,2013,2014,1.3053417e-05
Aortic_aneurysm,2014,2015,1.31726265e-05
Aortic_aneurysm,2015,2016,8.106232e-06
Aortic_aneurysm,2016,2017,1.1920929e-05
Aortic_aneurysm,2017,2018,1.3589859e-05
Aortic_aneurysm,2018,2019,1.8000603e-05
Aortic_aneurysm,2019,2020,1.335144e-05
Aortic_aneurysm,2020,2021,1.8179417e-05
Aortic_aneurysm,2021,2022,1.6152859e-05
Aortic_aneurysm,2022,2023,8.46386e-06
Aortic_aneurysm,2023,2024,1.3232231e-05
Aortic_aneurysm,2024,2025,2.8967857e-05
Aortic_aneurysm,2025,2026,0.00011861324
Appendicitis,2000,2001,7.903576e-05
Appendicitis,2001,2002,4.3213367e-05
Appendicitis,2002,2003,5.209446e-05
Appendicitis,2003,2004,3.385544e-05
Appendicitis,2004,2005,4.3570995e-05
Appendicitis,2005,2006,4.1782856e-05
Appendicitis,2006,2007,5.2332878e-05
Appendicitis,2007,2008,8.612871e-05
Appendicitis,2008,2009,2.6464462e-05
Appendicitis,2009,2010,4.094839e-05
Appendicitis,2010,2011,3.1650066e-05
Appendicitis,2011,2012,2.18153e-05
Appendicitis,2012,2013,4.285574e-05
Appendicitis,2013,2014,6.920099e-05
Appendicitis,2014,2015,1.3232231e-05
Appendicitis,2015,2016,2.9146671e-05
Appendicitis,2016,2017,2.5808811e-05
Appendicitis,2017,2018,1.8119812e-05
Appendicitis,2018,2019,2.360344e-05
Appendicitis,2019,2020,3.2901764e-05
Appendicitis,2020,2021,3.08156e-05
Appendicitis,2021,2022,2.6404858e-05
Appendicitis,2022,2023,2.2113323e-05
Appendicitis,2023,2024,7.122755e-05
Appendicitis,2024,2025,4.452467e-05
Appendicitis,2025,2026,0.0002874732
Asthma,2000,2001,8.702278e-06
Asthma,2001,2002,7.56979e-06
Asthma,2002,2003,6.914139e-06
Asthma,2003,2004,1.0192394e-05
Asthma,2004,2005,6.0796738e-06
Asthma,2005,2006,5.4240227e-06
Asthma,2006,2007,7.748604e-06
Asthma,2007,2008,5.90086e-06
Asthma,2008,2009,9.298325e-06
Asthma,2009,2010,6.0796738e-06
Asthma,2010,2011,1.0669231e-05
Asthma,2011,2012,4.708767e-06
Asthma,2012,2013,4.2915344e-06
Asthma,2013,2014,5.543232e-06
Asthma,2014,2015,5.364418e-06
Asthma,2015,2016,9.23872e-06
Asthma,2016,2017,5.3167343e-05
Asthma,2017,2018,4.1127205e-06
Asthma,2018,2019,9.596348e-06
Asthma,2019,2020,1.2814999e-05
Asthma,2020,2021,1.347065e-05
Asthma,2021,2022,4.2915344e-06
Asthma,2022,2023,5.90086e-06
Asthma,2023,2024,2.2768974e-05
Asthma,2024,2025,3.6120415e-05
Asthma,2025,2026,8.4102154e-05
Atrial_fibrillation_and_flutter,2000,2001,1.92523e-05
Atrial_fibrillation_and_flutter,2001,2002,2.5868416e-05
Atrial_fibrillation_and_flutter,2002,2003,3.0040741e-05
Atrial_fibrillation_and_flutter,2003,2004,1.2934208e-05
Atrial_fibrillation_and_flutter,2004,2005,1.5735626e-05
Atrial_fibrillation_and_flutter,2005,2006,1.859665e-05
Atrial_fibrillation_and_flutter,2006,2007,1.5974045e-05
Atrial_fibrillation_and_flutter,2007,2008,7.390976e-06
Atrial_fibrillation_and_flutter,2008,2009,9.894371e-06
Atrial_fibrillation_and_flutter,2009,2010,1.2457371e-05
Atrial_fibrillation_and_flutter,2010,2011,3.5703182e-05
Atrial_fibrillation_and_flutter,2011,2012,2.0086765e-05
Atrial_fibrillation_and_flutter,2012,2013,1.5437603e-05
Atrial_fibrillation_and_flutter,2013,2014,9.179115e-06
Atrial_fibrillation_and_flutter,2014,2015,7.6293945e-06
Atrial_fibrillation_and_flutter,2015,2016,4.529953e-06
Atrial_fibrillation_and_flutter,2016,2017,4.631281e-05
Atrial_fibrillation_and_flutter,2017,2018,6.0796738e-06
Atrial_fibrillation_and_flutter,2018,2019,5.4836273e-06
Atrial_fibrillation_and_flutter,2019,2020,4.23193e-06
Atrial_fibrillation_and_flutter,2020,2021,9.23872e-06
Atrial_fibrillation_and_flutter,2021,2022,9.059906e-06
Atrial_fibrillation_and_flutter,2022,2023,9.715557e-06
Atrial_fibrillation_and_flutter,2023,2024,1.9073486e-05
Atrial_fibrillation_and_flutter,2024,2025,3.5703182e-05
Atrial_fibrillation_and_flutter,2025,2026,4.351139e-05
Attention-deficit_hyperactivity_disorder,2000,2001,3.0100346e-05
Attention-deficit_hyperactivity_disorder,2001,2002,4.2557716e-05
Attention-deficit_hyperactivity_disorder,2002,2003,2.5570393e-05
Attention-deficit_hyperactivity_disorder,2003,2004,4.261732e-05
Attention-deficit_hyperactivity_disorder,2004,2005,2.2888184e-05
Attention-deficit_hyperactivity_disorder,2005,2006,2.0205975e-05
Attention-deficit_hyperactivity_disorder,2006,2007,1.680851e-05
Attention-deficit_hyperactivity_disorder,2007,2008,1.9073486e-05
Attention-deficit_hyperactivity_disorder,2008,2009,2.4318695e-05
Attention-deficit_hyperactivity_disorder,2009,2010,1.1444092e-05
Attention-deficit_hyperactivity_disorder,2010,2011,1.090765e-05
Attention-deficit_hyperactivity_disorder,2011,2012,1.6331673e-05
Attention-deficit_hyperactivity_disorder,2012,2013,1.335144e-05
Attention-deficit_hyperactivity_disorder,2013,2014,1.001358e-05
Attention-deficit_hyperactivity_disorder,2014,2015,1.347065e-05
Attention-deficit_hyperactivity_disorder,2015,2016,1.1920929e-05
Attention-deficit_hyperactivity_disorder,2016,2017,9.536743e-06
Attention-deficit_hyperactivity_disorder,2017,2018,9.119511e-06
Attention-deficit_hyperactivity_disorder,2018,2019,1.001358e-05
Attention-deficit_hyperactivity_disorder,2019,2020,2.69413e-05
